ProductID,ProductName,Category,Brand,Price,DiscountedPrice,Gender,Size,Color,StockQuantity,WarehouseLocation,DateAdded
f948c2cd,until,Accessories,Williams PLC,180.48,46.03,Unisex,S,RoyalBlue,8,Edwardsside,08-05-2024
2a2c7650,himself,Accessories,Martin and Sons,150.9,35.61,Female,XL,MediumBlue,218,North Dylanville,17-04-2024
ddb56171,ask,Men,French-Kirby,74.97,129.26,Male,M,RosyBrown,192,Lopezfort,28-09-2024
4500a6e7,management,Accessories,Simmons Ltd,186.43,144.09,Male,S,GoldenRod,495,Lozanofort,06-05-2024
89d6ed91,start,Accessories,"Williams, Holden and Wood",61.84,145.01,Female,L,MediumVioletRed,117,Toddton,06-07-2024
cebff7a8,government,Accessories,"Hurley, French and Harrell",63.85,172.75,Unisex,L,DarkCyan,194,Rodriguezstad,02-06-2024
1e891482,specific,Men,Mendoza Ltd,85.56,60.28,Male,S,Sienna,58,West Donna,18-06-2024
1b5ee3dd,nearly,Accessories,"King, Howell and Wright",165.42,40.66,Male,S,Azure,349,New Steven,01-07-2024
48ccc151,try,Accessories,Riley Ltd,119.67,143.75,Unisex,S,PeachPuff,195,Lake Ericchester,11-03-2024
ef3988d6,magazine,Men,Marsh Inc,167.08,61.66,Male,S,LemonChiffon,128,Paynehaven,13-07-2024
7b155207,southern,Men,Alvarez-Kim,80.19,149.83,Unisex,L,Snow,352,Gambleport,30-03-2024
0be0e1e9,my,Men,Dalton-Lane,14.47,94.44,Female,M,PaleVioletRed,407,North Davidland,19-05-2024
35f955e8,official,Men,"Higgins, Harris and Green",49.79,91.12,Unisex,S,Azure,345,Lake Christianchester,15-03-2024
1b7fae55,participant,Women,"Schultz, Reed and Austin",139.96,100.05,Male,L,SandyBrown,58,Eileenton,15-05-2024
7946f6b2,tell,Men,Young-Williams,40,95.29,Male,XL,SlateGray,237,South Austin,30-10-2024
f0f25918,baby,Women,Hart-Bradley,182.99,132.95,Female,M,Moccasin,311,New Madeline,03-10-2024
0fce3366,local,Accessories,"Middleton, Hicks and Bowman",158.79,27.11,Female,L,Green,192,Stephenside,05-08-2024
618c8436,able,Men,Kelley Inc,126.8,107.86,Unisex,M,HoneyDew,420,Charlottemouth,20-08-2024
614ebbe5,region,Women,Dominguez-Kelly,62.99,60.21,Male,L,LightCyan,333,Alexandratown,23-05-2024
9a9937d2,full,Women,Ibarra-Riddle,77.88,150.65,Male,XL,LawnGreen,365,Cherrychester,30-09-2024
da478cc5,tax,Women,Wright-Schwartz,52.41,149.32,Female,XL,Plum,169,Lake Donaldborough,07-12-2024
ec9e9146,never,Women,Durham-Morris,181.32,33.5,Male,L,Purple,225,West Kristen,13-01-2024
3c3f333e,they,Accessories,Mack Ltd,27.3,50.1,Male,XL,AliceBlue,472,Samanthaville,03-05-2024
9ae7b6b8,development,Accessories,Rivera-Reid,57.13,56.41,Female,L,SeaGreen,107,West Saratown,21-04-2024
6cdafb6a,together,Men,Miller and Sons,131.96,178.01,Male,M,Navy,388,Charleshaven,17-07-2024
fb56620f,green,Accessories,Roberson-Barnett,46.07,152.61,Male,XL,Navy,108,Port Justin,22-04-2024
bed37130,series,Women,Anderson-Navarro,145.72,81.47,Female,M,Coral,494,Jenniferland,07-05-2024
1e4aedf3,air,Women,"Green, Salazar and Simon",128.11,74.16,Unisex,S,White,3,South Donna,01-10-2024
ca140f20,general,Women,Peterson-Stanton,63.61,134.13,Unisex,L,LemonChiffon,179,Butlerland,20-03-2024
c35c9c86,nor,Accessories,"Becker, Kim and Hart",173.72,117.59,Unisex,S,CornflowerBlue,157,Gonzalesland,02-03-2024
55c10093,professional,Accessories,"Schneider, Jackson and Liu",189.84,82.7,Female,M,MidnightBlue,96,Lake Joseph,15-11-2024
0e72dcdf,student,Men,"Wilkinson, Heath and Cox",32.29,115.09,Female,XL,Salmon,254,Melissaside,06-10-2024
effd54d2,push,Accessories,Myers PLC,161.72,52.58,Female,XL,GhostWhite,220,Younghaven,27-06-2024
2fa26f20,smile,Men,Clarke-Nguyen,77.26,90.01,Unisex,XL,DarkRed,308,Nicoleton,18-04-2024
f323a1d3,relate,Accessories,"Vaughan, Obrien and Cohen",76.12,121.74,Female,S,LightPink,73,Ronaldville,25-11-2024
9d025626,level,Men,"Murphy, Hernandez and White",112.4,6.45,Male,S,Lime,438,Hallborough,10-06-2024
05c31f0a,test,Men,Chandler Group,73.49,41.77,Unisex,XL,PaleTurquoise,486,North Monicaberg,19-07-2024
d0ce7320,trade,Women,"Carney, Wheeler and Santos",91.31,61.38,Unisex,XL,Silver,419,Jenniferview,17-04-2024
1ddc8e82,kind,Women,"Kelly, Ramirez and Roach",164.69,169.59,Female,L,PaleTurquoise,250,North Jackport,11-01-2024
528bf5b7,now,Accessories,Dennis-Cervantes,93.52,130.17,Unisex,M,Chocolate,5,East Benjamin,29-10-2024
be127f5b,rather,Men,Jones-Smith,114.81,153.05,Unisex,L,IndianRed,426,West Chad,31-07-2024
d46fd380,nice,Accessories,Rodriguez-Henderson,54.64,178.76,Unisex,L,DarkRed,423,North Teresaview,21-09-2024
a043bdd0,gun,Men,Medina-Hill,100.11,62.34,Male,S,DodgerBlue,412,Patrickfort,18-05-2024
6f55a31a,again,Men,"Rodriguez, Lewis and Christian",77.63,36.74,Male,XL,Indigo,59,Port Kayla,17-08-2024
4d15901a,moment,Accessories,"Camacho, Gilbert and Watson",135.35,78.72,Male,L,Peru,304,East Michelle,18-01-2024
ffd16b4c,movement,Women,"Ball, Macdonald and Guerrero",152.87,115.6,Male,M,RoyalBlue,65,Tracieland,27-01-2024
6f319bc8,test,Men,Ortiz-Peterson,29.36,104.53,Unisex,XL,Indigo,382,Michaelfurt,01-05-2024
fde1426c,entire,Men,Burns-Vincent,188.68,54.11,Female,XL,MediumAquaMarine,15,Lake Steven,06-05-2024
aec402cd,weight,Men,Moss Ltd,182.81,118.11,Female,M,DarkGreen,155,Jenniferborough,04-10-2024
11c46397,for,Women,"Villanueva, Lee and Smith",14.31,97.06,Unisex,XL,Gainsboro,392,Port Kaylamouth,01-07-2024
0d896143,action,Accessories,"Hutchinson, Fuller and Hatfield",32.92,77.92,Female,XL,LightSkyBlue,497,Lake Justinfurt,08-11-2024
7515183a,yet,Women,"Willis, Anderson and Vega",22.48,109.37,Male,L,CadetBlue,314,Justinbury,06-10-2024
0d2b41ca,seek,Men,Blair-Perry,113.2,64.7,Female,L,DarkKhaki,139,South Andrewside,20-09-2024
e9cabb59,reason,Men,Taylor-Barton,44.51,40.87,Male,M,Turquoise,108,Jackton,21-08-2024
3ce591fe,however,Women,"Mitchell, Moore and Peterson",104.8,109.85,Male,S,Gray,419,Kathleenton,17-06-2024
59669b82,among,Accessories,Flores LLC,103.58,168.53,Female,S,Red,137,Ortizhaven,11-06-2024
6c9373f4,war,Men,Watson-Hudson,63.44,109.4,Male,XL,MidnightBlue,374,Port Shannonville,26-01-2024
b357bc3c,concern,Accessories,Johnson and Sons,49.01,22.38,Unisex,L,Turquoise,124,Kevinmouth,09-11-2024
0a736079,either,Accessories,Combs Group,28.72,13.29,Female,S,Chocolate,345,West Aaronberg,08-04-2024
3d981eb3,play,Women,Bell-Butler,23.44,129.37,Female,XL,BlanchedAlmond,288,Port Michael,31-03-2024
b1673b02,us,Women,Jones Group,28.5,132.34,Female,S,Aqua,456,East Terri,16-08-2024
2d636ae9,marriage,Men,Hernandez PLC,61.08,140.57,Female,XL,DarkSlateGray,258,Shawnbury,12-05-2024
4b41b511,subject,Women,"Reed, Ellis and Lambert",48.74,25.53,Unisex,XL,DarkGreen,228,North Shannon,21-05-2024
c0b7751c,grow,Accessories,Potter Inc,131.66,60.71,Male,XL,DarkRed,407,West Kimberly,08-02-2024
6e2e93be,return,Women,Anderson Group,192.07,166.13,Unisex,M,LightGoldenRodYellow,191,East Davidchester,08-09-2024
48a12298,specific,Accessories,Robinson-Adams,120.72,34.61,Male,L,HotPink,116,Shawnland,09-01-2024
9ef83919,recently,Accessories,"Ramos, Adams and Collins",87.62,71.43,Female,M,LavenderBlush,33,New Brookehaven,01-10-2024
236307de,sit,Accessories,"Rodriguez, Johnson and Johnson",17.79,124.08,Unisex,L,DarkViolet,294,Port Morgan,16-07-2024
e918eaab,show,Men,"Smith, Booker and Blair",121.08,134.22,Unisex,M,PaleGoldenRod,417,North Stephen,28-06-2024
16d5ef18,while,Men,Delacruz and Sons,110.39,133.95,Female,S,MediumTurquoise,174,Brandonshire,07-12-2024
0bee7c9b,security,Women,"Green, Downs and Carpenter",157.16,102.43,Female,XL,Beige,195,Aliciashire,03-02-2024
47c5e293,campaign,Women,Peters LLC,20.47,151.75,Female,M,Cornsilk,195,Lake Sarah,27-03-2024
13c1a47f,let,Accessories,"Raymond, Garcia and Kirby",28.34,100.57,Female,XL,DimGray,233,Blackview,29-04-2024
c9f5d358,hold,Women,"Wiley, White and Parker",27.35,113.49,Male,S,Violet,289,Brownton,24-10-2024
f0e8c7f3,everyone,Accessories,"Rodriguez, Wilson and Williams",99.84,88.22,Male,XL,WhiteSmoke,115,Brownhaven,22-02-2024
27eccd43,start,Women,"Gross, Johnson and Brown",99.85,88.08,Unisex,L,LightSlateGray,209,North Loretta,02-08-2024
c0561716,safe,Accessories,Luna-Hubbard,95.27,114.59,Female,XL,BlueViolet,162,Lake Jessica,22-09-2024
7f778f9b,after,Women,Jones-Perry,26.54,161.02,Female,S,AntiqueWhite,225,Aliberg,28-04-2024
04233cdd,and,Accessories,Benton Ltd,46.24,158.59,Male,XL,DarkOliveGreen,145,Wayneport,10-01-2024
67ccec8b,relationship,Men,"Hall, Stewart and Allen",140.8,164.47,Female,S,Moccasin,368,Rubiobury,18-09-2024
