SessionID,CustomerID,PageViewed,Duration,Date,Device,Referrer
3dcae9c8,7388f372,Sign Up,36,2024-12-18,Desktop,Email
ba831aa3,6af5d72b,Cart,288,2024-12-11,Mobile,Facebook
69d33d44,2ed415e0,Sign Up,77,2024-12-02,Desktop,Google
c319cbeb,e4018919,Cart,125,2024-12-13,Desktop,Email
9b52d60b,aad7ef7c,Sign Up,238,2024-12-12,Mobile,Email
63c24a69,3ca0b145,Checkout,59,2024-12-01,Mobile,Direct
eb8b5dec,9641b3e7,Checkout,77,2024-12-13,Tablet,Google
c72cd78d,765184c5,Products,139,2024-12-12,Mobile,Email
52c3ecd3,735f72b5,Sign Up,58,2024-12-06,Tablet,Direct
366ec3d6,465e1d65,Products,129,2024-12-10,Tablet,Direct
413de533,50baac6d,Login,74,2024-12-19,Mobile,Direct
4685688e,7d2daf41,Sign Up,275,2024-12-02,Tablet,Email
49e1d336,dacd234f,Sign Up,161,2024-12-12,Mobile,Email
82888b87,ff4a44d8,Login,235,2024-12-02,Mobile,Email
2de09448,7d2daf41,Checkout,296,2024-12-13,Desktop,Facebook
cc51438c,91971e6c,Sign Up,85,2024-12-02,Desktop,Instagram
8553931c,e57005fa,Sign Up,212,2024-12-16,Tablet,Direct
62148a52,ecd53c67,Products,94,2024-12-15,Desktop,Google
34213635,747e5483,Login,7,2024-12-10,Mobile,Direct
f5190cf7,a673676d,Products,228,2024-12-13,Mobile,Email
15e0157f,e96ef284,Products,94,2024-12-09,Desktop,Email
b28fb500,ecd53c67,Sign Up,157,2024-12-17,Mobile,Email
74f81a73,ac638eb1,Sign Up,19,2024-12-03,Desktop,Instagram
c2291c7c,496dac99,Sign Up,155,2024-12-12,Tablet,Instagram
